Rk|Coach|From|To|Last School|Yrs|G|W|L|T|Pct|BG|BW|BL|BT|BPct|Notes
109|John Bobo|1993|1996|Arkansas State|4|44|13|30|1|.307|0|0|0|0||
110|Mike Bobo|2015|2019|Colorado State|5|63|28|35|0|.444|3|0|3|0|.000|
111|Branch Bocock|1908|1926|South Carolina|10|86|58|24|4|.698|0|0|0|0||
112|Craig Bohl|2014|2019|Wyoming|6|76|36|40|0|.474|3|2|1|0|.667|
113|George Bohler|1928|1929|Auburn|2|14|3|11|0|.214|0|0|0|0||
114|Tom Boisture|1967|1968|Holy Cross|2|20|8|11|1|.425|0|0|0|0||
115|Daddy Boles|1914|1917|Kentucky|2|19|7|9|3|.447|0|0|0|0||
116|John Bonamego|2015|2018|Central Michigan|4|51|22|29|0|.431|3|0|3|0|.000|
117|Jay Bond|1918|1918|Kansas|1|4|2|2|0|.500|0|0|0|0||
118|J.R. Boone|1973|1975|Fresno State|3|34|10|24|0|.294|0|0|0|0||
119|Walter Booth|1900|1905|Nebraska|6|55|46|8|1|.845|0|0|0|0||
120|W.S. Boreland|1902|1902|Louisiana State|1|7|6|1|0|.857|0|0|0|0||
121|Bobby Bowden|1970|2009|Florida State|40|485|357|124|4|.740|33|22|10|1|.682|record adjusted to 346-123-4 by NCAA
122|Terry Bowden|1993|2018|Akron|13|152|82|69|1|.543|5|3|2|0|.600|
123|Tommy Bowden|1997|2008|Clemson|12|139|90|49|0|.647|8|3|5|0|.375|
124|Clint Bowen|2014|2014|Kansas|1|8|1|7|0|.125|0|0|0|0||
125|Jeff Bower|1990|2007|Southern Mississippi|18|203|118|84|1|.584|11|6|5|0|.545|record adjusted to 119-83-1 by NCAA
126|Charles Bowser|1939|1942|Pittsburgh|4|35|14|20|1|.414|0|0|0|0||
127|Sam Boyd|1956|1958|Baylor|3|31|15|15|1|.500|1|1|0|0|1.000|
128|Robert Boyers|1904|1905|Army|2|18|11|6|1|.639|0|0|0|0||
129|Sam Boyle|1899|1900|Dickinson|2|20|9|11|0|.450|0|0|0|0||
130|L.W. Boynton|1902|1904|Washington (MO)|3|29|15|13|1|.534|0|0|0|0||
131|Jim Bradley|1973|1977|New Mexico State|5|55|23|31|1|.427|0|0|0|0||
132|Tom Bradley|2011|2011|Penn State|1|4|1|3|0|.250|1|0|1|0|.000|
133|Charley Bradshaw|1962|1968|Kentucky|7|70|25|41|4|.386|0|0|0|0||
134|Jim Brakefield|1972|1979|Appalachian State|8|88|40|45|3|.472|0|0|0|0||
135|Gregg Brandon|2003|2008|Bowling Green State|6|74|44|30|0|.595|3|2|1|0|.667|
136|Brent Brennan|2017|2019|San Jose State|3|37|8|29|0|.216|0|0|0|0||
137|Terry Brennan|1954|1958|Notre Dame|5|50|32|18|0|.640|0|0|0|0||
138|Billy Brewer|1980|1993|Mississippi|13|148|75|69|4|.520|5|3|2|0|.600|record adjusted to 77-67-4 by NCAA
139|J.A. Brewin|1902|1902|Davidson|1|9|3|5|1|.389|0|0|0|0||
140|Tim Brewster|2007|2010|Minnesota|4|45|15|30|0|.333|2|0|2|0|.000|
141|Frank Brickey|1946|1946|Northern Arizona|1|9|5|2|2|.667|0|0|0|0||
142|A.E. Brides|1909|1910|North Carolina|2|16|8|8|0|.500|0|0|0|0||
143|John Bridgers|1959|1968|Baylor|10|103|49|53|1|.481|3|2|1|0|.667|
144|Frank Bridges|1920|1925|Baylor|6|59|35|18|6|.644|0|0|0|0||
145|Art Briles|2003|2015|Baylor|13|164|99|65|0|.604|9|3|6|0|.333|
146|Marty Brill|1940|1941|Loyola Marymount|2|20|8|12|0|.400|0|0|0|0||
147|W.H. Britton|1935|1935|Tennessee|1|9|4|5|0|.444|0|0|0|0||
148|Stan Brock|2007|2008|Army|2|24|6|18|0|.250|0|0|0|0||
149|Jeff Brohm|2014|2019|Purdue|6|78|47|31|0|.603|5|4|1|0|.800|
150|Robert Bronzan|1950|1956|San Jose State|7|67|32|30|5|.515|0|0|0|0||
151|George Brooke|1903|1915|Pennsylvania|9|82|52|25|5|.665|0|0|0|0||
152|J.D. Brookhart|2004|2009|Akron|6|72|30|42|0|.417|1|0|1|0|.000|
153|Rich Brooks|1977|2009|Kentucky|25|290|130|156|4|.455|8|4|4|0|.500|record adjusted to 131-155-4 by NCAA
154|William Brooks|1894|1894|Harvard|1|13|11|2|0|.846|0|0|0|0||
155|John Brothers|1946|1952|Tulsa|7|74|45|25|4|.635|1|0|1|0|.000|
156|Babe Brown|1945|1946|Idaho|2|17|2|15|0|.118|0|0|0|0||
157|Buster Brown|1909|1909|Tulane|1|9|4|3|2|.556|0|0|0|0||
158|Charles Brown|1920|1922|Birmingham-Southern|2|18|8|9|1|.472|0|0|0|0||
159|Earl Brown|1948|1950|Auburn|3|29|3|22|4|.172|0|0|0|0||
160|Fred Brown|1899|1900|Massachusetts|2|20|12|8|0|.600|0|0|0|0||
161|Gus Brown|1909|1909|Colgate|1|8|5|2|1|.688|0|0|0|0||
162|Mack Brown|1985|2019|Texas|30|369|245|123|1|.665|22|14|8|0|.636|
163|Neal Brown|2015|2019|West Virginia|5|63|40|23|0|.635|3|3|0|0|1.000|
164|Paul Brown|1941|1945|Great Lakes Navy|5|50|33|14|3|.690|0|0|0|0||
165|R.M. Brown|1908|1908|Virginia Tech|1|9|5|4|0|.556|0|0|0|0||
166|R.R. Brown|1902|1909|Washington & Lee|4|27|15|9|3|.611|0|0|0|0||
167|Robert Brown|1904|1904|North Carolina|1|9|5|2|2|.667|0|0|0|0||
168|Watson Brown|1983|2006|Alabama-Birmingham|19|213|75|137|1|.354|1|0|1|0|.000|
169|Willie Brown|1991|1991|Long Beach State|1|11|2|9|0|.182|0|0|0|0||
170|Frank Broyles|1957|1976|Arkansas|20|217|149|62|6|.700|10|4|6|0|.400|
171|Earle Bruce|1973|1992|Colorado State|19|223|139|82|2|.628|11|6|5|0|.545|
172|Milt Bruhn|1956|1966|Wisconsin|11|103|52|45|6|.534|2|0|2|0|.000|
173|Mike Brumbelow|1950|1956|Texas-El Paso|7|73|46|24|3|.651|3|2|1|0|.667|
174|Bear Bryant|1945|1982|Alabama|38|425|323|85|17|.780|29|15|12|2|.552|
175|Cleve Bryant|1985|1989|Ohio|5|55|9|44|2|.182|0|0|0|0||
176|Harry Buckingham|1913|1914|Denver|2|15|10|5|0|.667|0|0|0|0||
177|William Bull|1897|1897|Carlisle|1|10|6|4|0|.600|0|0|0|0||
178|Matthew Bullock|1904|1904|Massachusetts|1|8|5|2|1|.688|0|0|0|0||
179|John Bunting|2001|2006|North Carolina|6|72|27|45|0|.375|2|1|1|0|.500|
180|Brian Burke|1979|1984|Ohio|6|66|31|34|1|.477|0|0|0|0||
181|Luther Burleson|1907|1907|Baylor|1|8|4|3|1|.563|0|0|0|0||
182|Elmer Burnham|1942|1943|Purdue|2|18|10|8|0|.556|0|0|0|0||
183|Frank Burns|1973|1983|Rutgers|11|122|78|43|1|.643|1|0|1|0|.000|
184|Jerry Burns|1961|1965|Iowa|5|45|16|27|2|.378|0|0|0|0||
185|Keith Burns|2000|2002|Tulsa|3|35|7|28|0|.200|0|0|0|0||
186|Leon Burtnett|1982|1986|Purdue|5|56|21|34|1|.384|1|0|1|0|.000|
187|Rickey Bustle|2002|2010|Louisiana|9|106|41|65|0|.387|0|0|0|0||
188|Frank Butterworth|1897|1898|Yale|2|22|18|2|2|.864|0|0|0|0||
189|Wallace Butts|1939|1960|Georgia|22|235|140|86|9|.615|8|5|2|1|.688|
190|Curley Byrd|1917|1934|Maryland|18|172|88|70|14|.552|0|0|0|0||
1|Tom Cable|2000|2003|Idaho|4|46|11|35|0|.239|0|0|0|0||
2|Brian Cabral|2010|2010|Colorado|1|3|2|1|0|.667|0|0|0|0||
3|Chester Caddas|1972|1981|Colorado State|8|84|38|44|2|.464|0|0|0|0||
4|Red Cagle|1930|1930|Mississippi State|1|9|2|7|0|.222|0|0|0|0||
5|Thomas Cahill|1966|1973|Army|8|81|40|39|2|.506|0|0|0|0||
6|Charles Caldwell|1946|1956|Princeton|11|96|68|27|1|.714|0|0|0|0||
7|Fred Caldwell|1902|1902|Colorado College|1|7|3|4|0|.429|0|0|0|0||
8|Jim Caldwell|1993|2000|Wake Forest|8|89|26|63|0|.292|1|1|0|0|1.000|
9|Robbie Caldwell|2010|2010|Vanderbilt|1|12|2|10|0|.167|0|0|0|0||
10|Troy Calhoun|2007|2019|Air Force|13|167|98|69|0|.587|10|5|5|0|.500|
11|Bill Callahan|2004|2007|Nebraska|4|49|27|22|0|.551|2|1|1|0|.500|
12|J.H. Callahan|1900|1900|Trinity (CT)|1|8|4|3|1|.563|0|0|0|0||
13|Ray Callahan|1969|1972|Cincinnati|4|43|20|23|0|.465|0|0|0|0||
14|Tim Callahan|1922|1923|Colorado Mines|2|14|6|7|1|.464|0|0|0|0||
15|Leo Calland|1929|1934|Idaho|6|51|21|30|0|.412|0|0|0|0||
16|Neil Callaway|2007|2011|Alabama-Birmingham|5|60|18|42|0|.300|0|0|0|0||
17|Prink Callison|1932|1937|Oregon|6|58|33|23|2|.586|0|0|0|0||
18|Cam Cameron|1997|2001|Indiana|5|55|18|37|0|.327|0|0|0|0||
19|Frank Camp|1962|1968|Louisville|7|70|32|38|0|.457|0|0|0|0||
20|Jim Camp|1961|1966|George Washington|6|57|22|35|0|.386|0|0|0|0||
21|Walter Camp|1888|1892|Yale|5|70|68|2|0|.971|0|0|0|0||
22|Nunzio Campanile|2019|2019|Rutgers|1|8|1|7|0|.125|0|0|0|0||
23|Matt Campbell|2011|2019|Iowa State|9|101|61|40|0|.604|6|3|3|0|.500|
24|Steve Campbell|2018|2019|South Alabama|2|24|5|19|0|.208|0|0|0|0||
25|Thomas Campbell|1916|1922|Virginia|3|26|13|11|2|.538|0|0|0|0||
26|William Campbell|1974|1979|Columbia|6|54|12|41|1|.231|0|0|0|0||
27|Don Campora|1964|1965|Pacific|2|19|2|17|0|.105|0|0|0|0||
28|Matt Canada|2018|2018|Maryland|1|12|5|7|0|.417|0|0|0|0||
29|Mike Canales|2010|2015|North Texas|2|12|3|9|0|.250|0|0|0|0||
30|Jason Candle|2015|2019|Toledo|5|53|34|19|0|.642|4|1|3|0|.250|
31|Howard Cann|1932|1933|New York University|2|15|7|7|1|.500|0|0|0|0||
32|Jack Cannell|1921|1933|Dartmouth|7|62|39|19|4|.661|0|0|0|0||
33|Cappy Cappon|1926|1927|Kansas|2|16|5|10|1|.344|0|0|0|0||
34|Ron Caragher|2013|2016|San Jose State|4|49|19|30|0|.388|1|1|0|0|1.000|
35|Rod Carey|2012|2019|Temple|8|95|60|35|0|.632|7|0|7|0|.000|
36|Frank Carideo|1932|1934|Missouri|3|27|2|23|2|.111|0|0|0|0||
37|Vince Carillot|1969|1969|Tulsa|1|10|1|9|0|.100|0|0|0|0||
38|Jim Carlen|1966|1981|South Carolina|16|182|107|69|6|.604|8|2|5|1|.313|
39|Jack Carlisle|1979|1981|East Tennessee State|3|33|15|18|0|.455|0|0|0|0||
40|Bob Carlson|1951|1952|Wichita State|2|19|5|13|1|.289|0|0|0|0||
41|Jim Carmody|1982|1987|Southern Mississippi|6|66|37|29|0|.561|0|0|0|0||record adjusted to 38-28-0 by NCAA
42|Clyde Carpenter|1942|1947|Montana State|3|27|9|16|2|.370|1|0|0|1|.500|
43|Lloyd Carr|1995|2007|Michigan|13|162|122|40|0|.753|13|6|7|0|.462|
44|Pete Carroll|2001|2009|Southern California|9|116|97|19|0|.836|9|7|2|0|.778|record adjusted to 83-19-0 by NCAA
45|Bud Carson|1967|1971|Georgia Tech|5|54|27|27|0|.500|2|1|1|0|.500|
46|Jules Carson|1936|1936|Wofford|1|9|1|7|1|.167|0|0|0|0||
47|F.G. Carter|1916|1916|Colorado Mines|1|6|3|2|1|.583|0|0|0|0||
48|Rick Carter|1981|1981|Holy Cross|1|11|6|5|0|.545|0|0|0|0||
49|Len Casanova|1946|1966|Oregon|21|209|104|94|11|.524|4|2|2|0|.500|
50|Robert Casciola|1973|1977|Princeton|5|45|14|30|1|.322|0|0|0|0||
51|Marino Casem|1977|1977|Alcorn State|1|11|3|8|0|.273|0|0|0|0||
52|George Cassidy|1910|1910|Colorado State|1|5|0|5|0|.000|0|0|0|0||
53|Miles Casteel|1939|1948|Arizona|7|70|41|26|3|.607|1|0|1|0|.000|
54|Frank Castleman|1906|1907|Colorado|2|17|7|6|4|.529|0|0|0|0||
55|Mark Catlin|1906|1908|Iowa|3|17|7|10|0|.412|0|0|0|0||
56|Tony Cavallo|1955|1957|New Mexico State|3|30|7|23|0|.233|0|0|0|0||
57|Mike Cavan|1997|2001|Southern Methodist|5|56|22|34|0|.393|0|0|0|0||record adjusted to 18-28-0 by NCAA
58|Ed Cavanaugh|1980|1982|Army|3|33|10|21|2|.333|0|0|0|0||
59|Frank Cavanaugh|1903|1932|Fordham|14|124|86|29|9|.730|0|0|0|0||
60|Pete Cawthon|1932|1940|Texas Tech|9|96|67|23|6|.729|2|0|2|0|.000|
61|Francis Cayou|1904|1912|Washington (MO)|7|56|26|27|3|.491|0|0|0|0||
62|Thomas Cecchini|1972|1973|Xavier|2|21|7|13|1|.357|0|0|0|0||
63|Jamey Chadwell|2017|2019|Coastal Carolina|2|24|8|16|0|.333|0|0|0|0||
64|Dale Chadwick|1911|1912|Mississippi College|2|13|4|9|0|.308|0|0|0|0||
65|George Chadwick|1903|1903|Yale|1|12|11|1|0|.917|0|0|0|0||
66|William Chadwick|1909|1913|Mississippi State|5|43|29|12|2|.698|0|0|0|0||
67|John Chalmers|1903|1905|Iowa|3|32|24|8|0|.750|0|0|0|0||
68|Jim Chaney|2012|2012|Tennessee|1|1|1|0|0|1.000|0|0|0|0||
69|George Chaump|1990|1994|Navy|5|55|14|41|0|.255|0|0|0|0||
70|John Cherberg|1953|1955|Washington|3|30|10|18|2|.367|0|0|0|0||
71|Blair Cherry|1947|1950|Texas|4|43|32|10|1|.756|3|2|1|0|.667|
72|Jack Chevigny|1934|1936|Texas|3|29|13|14|2|.483|0|0|0|0||
73|Clarence Childs|1914|1915|Indiana|2|14|6|7|1|.464|0|0|0|0||
74|Eddie Chinske|1952|1954|Montana|3|27|8|18|1|.315|0|0|0|0||
75|Ron Chismar|1984|1986|Wichita State|3|33|8|25|0|.242|0|0|0|0||record adjusted to 9-24-0 by NCAA
76|Gene Chizik|2007|2012|Auburn|6|76|38|38|0|.500|3|3|0|0|1.000|
77|Ed Chlebek|1976|1982|Kent State|7|77|26|51|0|.338|0|0|0|0||
78|Norm Chow|2012|2015|Hawaii|4|46|10|36|0|.217|0|0|0|0||
79|Dave Christensen|2009|2013|Wyoming|5|62|27|35|0|.435|2|1|1|0|.500|
80|Jack Christiansen|1972|1976|Stanford|5|55|30|22|3|.573|0|0|0|0||
81|Paul Chryst|2012|2019|Wisconsin|8|106|71|35|0|.670|7|5|2|0|.714|
82|Bill Church|1897|1897|Purdue|1|9|5|3|1|.611|0|0|0|0||
83|E.M. Church|1895|1895|Union (NY)|1|5|0|5|0|.000|0|0|0|0||
84|Frank Cignetti|1976|1979|West Virginia|4|44|17|27|0|.386|0|0|0|0||
85|Craig Cirbus|1999|2000|Buffalo|2|22|2|20|0|.091|0|0|0|0||
86|Tracy Claeys|2015|2016|Minnesota|2|19|11|8|0|.579|2|2|0|0|1.000|
87|Jerry Claiborne|1961|1989|Kentucky|28|309|179|122|8|.592|11|3|8|0|.273|
88|Bert Clark|1964|1967|Washington State|4|40|15|24|1|.388|0|0|0|0||
89|Bill Clark|2014|2019|Alabama-Birmingham|4|53|34|19|0|.642|3|1|2|0|.333|
90|Click Clark|1924|1925|Montana|2|16|7|8|1|.469|0|0|0|0||
91|Don Clark|1957|1959|Southern California|3|30|13|16|1|.450|0|0|0|0||
