RANK|TEAM|G|TDS|OPP XP|2PT|OPP DXP|OPP FGM|OPP SAF|PTS|AVG
121|Georgia State|13|62|53|2|0|14|0|471|36.2
122|Akron|12|56|55|1|0|14|0|435|36.3
123|Rutgers|12|59|56|0|0|10|0|440|36.7
124|Arkansas|12|57|55|0|0|15|0|442|36.8
125|New Mexico|12|59|55|1|1|11|0|446|37.2
126|Bowling Green|12|62|61|0|0|10|0|463|38.6
127|Louisiana-Monroe|12|61|57|1|0|13|0|464|38.7
128|UConn|12|67|66|0|0|6|0|486|40.5
129|New Mexico State|12|61|55|1|0|23|0|492|41
130|UMass|12|86|84|1|0|10|0|632|52.7
